track_name,album_name,danceability,energy,loudness,acousticness,instrumentalness,tempo,speechiness,liveness,valence
Music To Watch Boys To,Honeymoon,0.4,0.494,-8.04,0.713,3.34e-4,132.016,0.0367,0.238,0.134
Terrence Loves You,Honeymoon,0.296,0.25,-10.088,0.975,0.0187,102.031,0.0314,0.0988,0.0898
God Knows I Tried,Honeymoon,0.398,0.428,-8.292,0.846,0.0338,81.017,0.0275,0.185,0.111
High By The Beach,Honeymoon,0.536,0.486,-11.067,0.244,0.00788,131.988,0.0346,0.12,0.0968
Freak,Honeymoon,0.287,0.43,-10.014,0.269,5.79e-4,93.984,0.033,0.32,0.109
Art Deco,Honeymoon,0.282,0.464,-11.112,0.544,0.215,148.345,0.0533,0.111,0.0596
Burnt Norton - Interlude,Honeymoon,0.28,0.304,-18.57,0.9,0.806,85.765,0.0359,0.135,0.523
Religion,Honeymoon,0.416,0.459,-9.977,0.813,0.0428,135.689,0.0366,0.102,0.175
Salvatore,Honeymoon,0.304,0.311,-9.647,0.675,0.00195,117.68,0.0344,0.12,0.115
The Blackest Day,Honeymoon,0.445,0.522,-8.007,0.363,4.87e-4,107.752,0.0331,0.0797,0.162
24,Honeymoon,0.284,0.372,-9.821,0.782,1.83e-4,98.181,0.0356,0.103,0.0853
Swan Song,Honeymoon,0.34,0.361,-11.567,0.636,0.421,81.765,0.0294,0.259,0.0392
Don't Let Me Be Misunderstood,Honeymoon,0.327,0.351,-10.488,0.316,5.93e-6,80.386,0.0327,0.107,0.063
Love,Lust For Life,0.527,0.366,-10.943,0.487,0.0023,98.994,0.0277,0.11,0.234
Lust For Life (with The Weeknd),Lust For Life,0.504,0.655,-8.644,0.604,0.00193,99.982,0.0542,0.364,0.262
13 Beaches,Lust For Life,0.333,0.389,-9.132,0.539,0.0772,144.204,0.0364,0.163,0.25
Cherry,Lust For Life,0.449,0.534,-9.493,0.048,0.0011,94.261,0.0494,0.384,0.342
White Mustang,Lust For Life,0.658,0.46,-8.646,0.456,0.00111,114.801,0.0444,0.0963,0.223
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lust For Life,0.76,0.574,-8.57,0.0155,2.02e-5,134.981,0.126,0.199,0.137
Groupie Love (feat. A$AP Rocky),Lust For Life,0.359,0.6,-7.317,0.113,1.32e-6,175.894,0.0398,0.0952,0.195
In My Feelings,Lust For Life,0.54,0.674,-6.351,0.0553,0.0608,89.933,0.0802,0.112,0.309
Coachella - Woodstock In My Mind,Lust For Life,0.535,0.658,-7.425,0.189,4.11e-5,129.835,0.0998,0.0683,0.413
God Bless America - And All The Beautiful Women In It,Lust For Life,0.374,0.697,-6.544,0.411,0.211,87.96,0.0637,0.122,0.244
When The World Was At War We Kept Dancing,Lust For Life,0.616,0.605,-7.234,0.097,0.00812,116.031,0.0343,0.165,0.185
Beautiful People Beautiful Problems (feat. Stevie Nicks),Lust For Life,0.509,0.43,-8.387,0.834,8.54e-4,122.919,0.0325,0.0927,0.128
Tomorrow Never Came (feat. Sean Ono Lennon),Lust For Life,0.297,0.402,-9.757,0.819,1.81e-4,138.019,0.0346,0.109,0.177
Heroin,Lust For Life,0.352,0.41,-8.796,0.556,0.0113,118.721,0.0388,0.114,0.0952
Change,Lust For Life,0.558,0.246,-10.914,0.942,0.00875,85.672,0.0409,0.106,0.303
Get Free,Lust For Life,0.205,0.472,-10.45,0.498,7.92e-4,203.944,0.0718,0.0953,0.0392
Norman fucking Rockwell,Norman Fucking Rockwell!,0.215,0.203,-12.65,0.968,0.0585,78.287,0.0346,0.0923,0.143
